season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries
2020,1216494,Kolkata Knight Riders v Royal Challengers Bangalore,KKR v RCB,"39th Match (N), Indian Premier League at Abu Dhabi, Oct 21 2020",KKR,RCB,KKR,BAT FIRST,84/8,85/2,84/8,85/2,RCB,RCB won by 8 wickets,2020-10-21T14:00Z,2020-10-23T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Eoin Morgan,Virat Kohli,Mohammed Siraj,"Royal Challengers Bangalore 2, Kolkata Knight Riders 0",FALSE,20,84,8,8,13.3,85,2,11
2020,1216495,Sunrisers Hyderabad v Mumbai Indians,SRH v MI,"56th Match (N), Indian Premier League at Sharjah, Nov 3 2020",SRH,MI,SRH,BOWL FIRST,149/8,151/0,151/0,149/8,SRH,Sunrisers won by 10 wickets,2020-11-03T14:00Z,2020-11-05T23:59Z,59392,Sharjah Cricket Stadium,David Warner,Rohit Sharma,Shahbaz Nadeem,"Sunrisers Hyderabad 2, Mumbai Indians 0",FALSE,17.1,151,0,19,20,149,8,18
2020,1216496,Rajasthan Royals v Chennai Super Kings,RR v CSK,"4th Match (N), Indian Premier League at Sharjah, Sep 22 2020",RR,CSK,CSK,BOWL FIRST,216/7,200/6,216/7,200/6,RR,Royals won by 16 runs,2020-09-22T14:00Z,2020-09-24T23:59Z,59392,Sharjah Cricket Stadium,Steven Smith,MS Dhoni,Sanju Samson,"Rajasthan Royals 2, Chennai Super Kings 0",FALSE,20,216,7,26,20,200,6,25
2020,1216497,Kolkata Knight Riders v Delhi Capitals,KKR v DC,"42nd Match, Indian Premier League at Abu Dhabi, Oct 24 2020",KKR,DC,DC,BOWL FIRST,194/6,135/9,194/6,135/9,KKR,KKR won by 59 runs,2020-10-24T10:00Z,2020-10-26T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Eoin Morgan,Shreyas Iyer,Varun Chakravarthy,"Kolkata Knight Riders 2, Delhi Capitals 0",FALSE,20,194,6,30,20,135,9,14
2020,1216498,Kings XI Punjab v Sunrisers Hyderabad,PBKS v SRH,"43rd Match (N), Indian Premier League at Dubai (DSC), Oct 24 2020",PBKS,SRH,SRH,BOWL FIRST,126/7,114,126/7,114,PBKS,Kings XI won by 12 runs,2020-10-24T14:00Z,2020-10-26T23:59Z,392627,Dubai International Cricket Stadium,KL Rahul,David Warner,Chris Jordan,"Kings XI Punjab 2, Sunrisers Hyderabad 0",FALSE,20,126,7,9,19.5,114,10,14
2020,1216499,Mumbai Indians v Royal Challengers Bangalore,MI v RCB,"48th Match (N), Indian Premier League at Abu Dhabi, Oct 28 2020",MI,RCB,MI,BOWL FIRST,164/6,166/5,166/5,164/6,MI,Mum Indians won by 5 wickets,2020-10-28T14:00Z,2020-10-30T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Kieron Pollard,Virat Kohli,Suryakumar Yadav,"Mumbai Indians 2, Royal Challengers Bangalore 0",FALSE,19.1,166,5,22,20,164,6,24
2020,1216500,Rajasthan Royals v Delhi Capitals,RR v DC,"23rd Match (N), Indian Premier League at Sharjah, Oct 9 2020",RR,DC,RR,BOWL FIRST,184/8,138,138,184/8,DC,Capitals won by 46 runs,2020-10-09T14:00Z,2020-10-11T23:59Z,59392,Sharjah Cricket Stadium,Steven Smith,Shreyas Iyer,Ravichandran Ashwin,"Delhi Capitals 2, Rajasthan Royals 0",FALSE,19.4,138,10,14,20,184,8,22
2020,1216501,Kolkata Knight Riders v Chennai Super Kings,KKR v CSK,"21st Match (N), Indian Premier League at Abu Dhabi, Oct 7 2020",KKR,CSK,KKR,BAT FIRST,167,157/5,167,157/5,KKR,KKR won by 10 runs,2020-10-07T14:00Z,2020-10-09T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Dinesh Karthik,MS Dhoni,Rahul Tripathi,"Kolkata Knight Riders 2, Chennai Super Kings 0",FALSE,20,167,10,19,20,157,5,21
2020,1216502,Royal Challengers Bangalore v Sunrisers Hyderabad,RCB v SRH,"52nd Match (N), Indian Premier League at Sharjah, Oct 31 2020",RCB,SRH,SRH,BOWL FIRST,120/7,121/5,120/7,121/5,SRH,Sunrisers won by 5 wickets,2020-10-31T14:00Z,2020-11-02T23:59Z,59392,Sharjah Cricket Stadium,Virat Kohli,David Warner,Sandeep Sharma,None,FALSE,20,120,7,10,14.1,121,5,15
2020,1216503,Kings XI Punjab v Mumbai Indians,PBKS v MI,"13th Match (N), Indian Premier League at Abu Dhabi, Oct 1 2020",PBKS,MI,PBKS,BOWL FIRST,191/4,143/8,143/8,191/4,MI,Mum Indians won by 48 runs,2020-10-01T14:00Z,2020-10-03T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",KL Rahul,Rohit Sharma,Kieron Pollard,"Mumbai Indians 2, Kings XI Punjab 0",FALSE,20,143,8,13,20,191,4,27
